ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
978-1-69033-693-8,Cross-group 5thgeneration Graphical User Interface,Luke Swift,Reference,2007,0,2018-04-04,Missing,True
978-0-545-52787-3,Optional scalable time-frame,Vanessa Palmer,Children,1959,2,2024-07-30,Reserved,True
9781640930995,Virtual reciprocal monitoring,Mrs Abbie Wood,Young Adult,1950,5,2015-11-28,Available,True
978-1-969999-38-3,Customer-focused non-volatile project,Aimee Pearce,Young Adult,1982,8,2021-05-27,Checked Out,True
9781612319001,Digitized explicit array,Miss Victoria Hughes,Reference,1991,3,2024-11-29,Checked Out,True
978-0-7353-3270-6,De-engineered motivating time-frame,Dr Dennis Hunt,Young Adult,1999,8,2020-10-19,Reserved,True
9781311621061,Multi-channeled web-enabled artificial intelligence,Diana Richards-Gray,Fiction,2021,7,2017-11-07,Damaged,True
978-1-4310-5577-7,Cloned stable analyzer,Bethan Hartley,Young Adult,2009,10,2022-05-25,Damaged,True
978-1-59608-895-5,Reactive human-resource pricing structure,Leon Barrett,Fiction,1951,6,2019-02-06,Reserved,True
9780423149456,Down-sized user-facing attitude,Debra Goddard,Non-Fiction,1989,5,2025-06-09,Missing,True
978-0-620-98180-4,Synergized encompassing application,Gerard Wong,Young Adult,1979,1,2022-12-28,Damaged,True
978-1-141-40508-4,Monitored 24/7 secured line,Lindsey Smith,Non-Fiction,1955,3,2018-06-12,Checked Out,True
978-0-9636412-2-9,Open-source exuding knowledge user,Katherine Marshall,Non-Fiction,1983,9,2022-09-05,Damaged,True
9781539604242,Assimilated national artificial intelligence,Patrick Walters,Young Adult,1992,7,2018-07-19,Reserved,True
978-0-9685276-8-9,Enhanced 3rdgeneration open system,Harriet Miah,Children,1964,0,2016-10-20,Reserved,True
978-1-66142-809-9,Pre-emptive 24hour complexity,Katy Carter,Reference,1985,8,2020-06-18,Available,True
978-1-351-59117-1,Mandatory solution-oriented data-warehouse,Elizabeth Williams,Reference,1988,7,2017-02-19,Checked Out,True
978-0-379-70860-8,Integrated secondary encoding,Shane Wall,Fiction,2019,1,2021-04-15,Reserved,True
978-1-371-72015-5,Focused disintermediate emulation,Sarah Ryan,Young Adult,1952,5,2024-06-21,Reserved,True
978-1-964741-33-8,Cloned bandwidth-monitored help-desk,Hilary Carroll,Non-Fiction,2011,0,2018-01-19,Damaged,True
9781226631544,Extended 3rdgeneration parallelism,Mr Timothy Graham,Reference,2024,5,2022-04-25,Missing,True
978-0-315-65366-5,Proactive background database,Miss Anna Wallace,Children,2011,6,2022-11-04,Available,True
978-0-452-28232-2,Inverse systemic data-warehouse,Dr Conor Knowles,Fiction,1963,0,2023-01-14,Damaged,True
978-0-496-57758-3,Front-line secondary definition,Ms Elizabeth King,Reference,2010,6,2020-09-29,Reserved,True
978-1-06-412315-7,Grass-roots 6thgeneration collaboration,Danielle Robinson-Heath,Young Adult,1996,4,2015-11-13,Reserved,True
978-1-01-632703-9,Streamlined encompassing orchestration,Hayley Warner,Young Adult,1993,7,2015-12-13,Checked Out,True
978-0-696-36427-3,Distributed upward-trending archive,Nicole May,Reference,2022,7,2018-05-26,Checked Out,True
978-1-367-68796-7,Polarized stable function,Dr Vanessa Davis,Non-Fiction,1999,10,2017-08-23,Missing,True
978-0-01-333279-4,Vision-oriented next generation support,Mr Anthony Burke,Non-Fiction,1987,8,2015-10-18,Reserved,True
978-1-199-61494-0,Secured bandwidth-monitored moratorium,Mrs Natasha Hunter,Children,1953,3,2019-05-01,Missing,True
978-1-03-849526-6,Assimilated intangible migration,Tracy Coates,Fiction,2014,4,2020-05-14,Damaged,True
978-1-141-09661-9,Synergistic holistic pricing structure,Rosie Shaw,Reference,1994,6,2017-05-13,Available,True
978-1-890885-06-9,Re-contextualized 24/7 core,Lindsey Shaw,Young Adult,1998,9,2018-01-04,Missing,True
978-0-12-027302-7,Focused multi-tasking product,Dr Stanley Allen,Non-Fiction,2002,1,2019-02-02,Checked Out,True
978-0-920722-30-5,Expanded dynamic hub,Martyn Hayes-Wilson,Reference,1966,6,2021-03-12,Missing,True
978-0-11-399773-2,Quality-focused stable knowledgebase,Jason Williams,Young Adult,1954,9,2025-09-12,Damaged,True
978-1-82360-842-0,De-engineered optimizing throughput,Dr Maria Webb,Young Adult,2008,7,2018-05-05,Missing,True
978-1-57430-620-0,Multi-tiered multi-tasking architecture,Annette Davies-Watts,Children,2009,0,2022-02-22,Checked Out,True
978-1-202-98113-7,Advanced well-modulated ability,Barry Smith,Reference,2022,6,2022-04-03,Checked Out,True
978-1-198-11796-1,Fully-configurable content-based adapter,Leslie Turner,Young Adult,1978,7,2025-10-09,Damaged,True
978-1-04-432719-3,Down-sized object-oriented open architecture,Paul Sanders,Reference,1973,7,2020-12-25,Available,True
978-0-616-93624-5,Centralized multi-state support,Roger Robinson,Fiction,1957,7,2016-12-05,Checked Out,True
978-0-238-13705-1,Polarized transitional secured line,Lisa Thomas-Jones,Children,1965,2,2025-01-21,Missing,True
978-1-59415-258-0,Expanded multi-tasking hardware,Alexandra Henry,Reference,2003,2,2020-09-18,Checked Out,True
978-0-644-66847-7,Customer-focused content-based concept,Dylan Howard,Fiction,2002,8,2024-10-19,Checked Out,True
978-0-915851-18-8,Multi-layered multi-tasking artificial intelligence,Margaret Green,Children,1975,2,2019-08-16,Checked Out,True
978-0-535-96828-0,Reverse-engineered 24/7 attitude,Dr Peter Powell,Non-Fiction,1980,0,2024-04-10,Checked Out,True
978-1-63167-660-4,Digitized local attitude,Ms Kate Hill,Non-Fiction,1979,4,2022-02-10,Reserved,True
978-1-871819-38-0,Focused fault-tolerant methodology,Ross Morris,Young Adult,1952,6,2019-04-07,Available,True
978-0-473-08028-0,Down-sized bandwidth-monitored data-warehouse,Lindsey Ferguson,Young Adult,2022,4,2018-10-06,Checked Out,True
978-1-143-04446-5,Re-contextualized maximized monitoring,Billy Doyle,Fiction,2001,9,2023-10-01,Reserved,True
978-0-490-01976-8,Progressive uniform superstructure,Nathan Smith,Non-Fiction,1974,5,2019-05-19,Damaged,True
9781195113034,Assimilated leadingedge time-frame,Dr Deborah Jones,Reference,2000,5,2019-08-28,Checked Out,True
978-1-68464-820-7,Right-sized multi-state matrix,Jasmine Gordon,Reference,1989,1,2021-01-06,Checked Out,True
978-0-86969-234-9,Function-based eco-centric approach,Miss Beverley Sanders,Reference,1993,3,2025-01-09,Damaged,True
978-1-213-96362-7,Assimilated tertiary paradigm,Yvonne Bailey,Fiction,1954,6,2022-05-24,Reserved,True
978-1-172-31901-5,Organic analyzing standardization,Dr Phillip Scott,Children,2017,8,2021-01-20,Reserved,True
978-0-7218-5893-7,Monitored multimedia extranet,Toby Bentley-Roberts,Children,2018,7,2020-08-06,Reserved,True
978-1-126-56564-2,Cross-platform systemic interface,Dr Georgina Burton,Non-Fiction,1963,1,2016-09-25,Missing,True
978-0-11-207018-4,Team-oriented stable adapter,Leslie Johnson-Read,Reference,1951,4,2017-09-13,Checked Out,True
978-1-79262-552-7,Monitored logistical instruction set,Melanie Day,Children,1994,4,2022-11-28,Checked Out,True
978-0-598-48086-6,Cloned motivating Internet solution,Albert Marshall,Reference,1950,5,2020-12-12,Checked Out,True
978-0-434-22997-0,Quality-focused holistic data-warehouse,Helen Marshall,Young Adult,2002,4,2015-10-26,Checked Out,True
978-0-9893090-4-2,Adaptive actuating encryption,Rhys Ward,Children,1992,0,2018-11-16,Damaged,True
978-0-405-65025-3,Organized neutral matrix,Hazel Cox,Reference,2004,8,2023-10-17,Missing,True
978-1-902799-04-9,Object-based content-based infrastructure,Joshua Hobbs,Young Adult,2019,6,2023-05-31,Available,True
978-0-86488-362-9,Open-source optimizing instruction set,Chelsea Harrison,Non-Fiction,1955,3,2019-09-03,Missing,True
978-1-177-52969-3,Triple-buffered exuding service-desk,Mr Leigh Cooper,Non-Fiction,1971,1,2016-10-10,Checked Out,True
9781881412458,Diverse leadingedge system engine,Dr Jack Evans,Fiction,2011,0,2023-09-17,Available,True
978-1-5056-2448-9,Configurable needs-based synergy,Dr Ross Lewis,Reference,1991,8,2021-09-13,Damaged,True
9780139193873,Centralized leadingedge focus group,Mr Kieran Hawkins,Young Adult,1976,9,2016-01-02,Missing,True
978-1-9843-8281-8,Integrated 3rdgeneration frame,Ms Denise Jones,Non-Fiction,2019,7,2020-02-28,Missing,True
978-1-72362-733-0,Business-focused motivating protocol,Christopher Smith,Reference,2011,2,2018-12-20,Missing,True
978-1-68432-109-4,Inverse explicit policy,Dr Jane Jones,Young Adult,1975,1,2023-10-22,Reserved,True
978-0-7909-9199-3,Stand-alone scalable projection,Dr Joe Williams,Non-Fiction,1989,9,2016-06-18,Reserved,True
978-1-110-35625-6,Polarized system-worthy infrastructure,Janet George,Young Adult,1972,9,2025-09-27,Available,True
978-0-8057-9550-9,Assimilated analyzing task-force,Leanne Robertson-Ward,Young Adult,2023,6,2024-04-19,Reserved,True
978-0-05-727562-0,Enterprise-wide 3rdgeneration complexity,Kimberley Newton,Children,1964,6,2021-06-19,Available,True
978-0-537-01376-6,Total user-facing algorithm,Julian Gallagher,Non-Fiction,1974,2,2022-07-02,Missing,True
9780489323777,Multi-lateral intangible matrix,Stewart Bennett,Reference,2014,0,2025-02-20,Damaged,True
978-1-324-14842-5,Operative solution-oriented open architecture,Conor Page,Fiction,1952,5,2023-01-24,Available,True
978-1-57465-857-6,Reactive holistic infrastructure,Dr Justin Nicholson,Fiction,1972,8,2022-09-27,Damaged,True
978-1-279-34682-2,Streamlined reciprocal secured line,Jeremy Green,Children,1993,10,2019-03-30,Available,True
978-1-351-18778-7,Object-based disintermediate firmware,Joshua Robertson,Non-Fiction,1952,2,2021-05-19,Checked Out,True
978-1-74763-971-5,Ameliorated content-based architecture,Max Williams,Fiction,1960,7,2023-07-18,Reserved,True
978-1-79606-888-7,Synchronized homogeneous intranet,Patrick Elliott,Children,1996,4,2017-07-13,Available,True
978-1-05-784622-3,Cloned impactful database,Yvonne Butcher-Hill,Young Adult,1985,8,2019-10-31,Damaged,True
978-0-531-21413-8,Universal multi-state capacity,Mohammad Knight,Reference,1967,10,2024-03-14,Available,True
978-1-86514-660-7,Customer-focused modular access,Dr Glen Smith,Fiction,1984,6,2019-12-07,Damaged,True
978-0-552-26412-9,Fundamental human-resource hub,Ms Beth Slater,Non-Fiction,2009,5,2023-02-21,Available,True
978-1-873516-83-6,Devolved 24hour contingency,Kate Edwards,Fiction,1995,2,2016-08-10,Damaged,True
9780021498000,Up-sized well-modulated monitoring,Melissa Simpson-Saunders,Reference,2007,4,2024-04-27,Reserved,True
978-1-7343282-3-3,Robust asymmetric core,Joyce Cole,Non-Fiction,1956,3,2016-06-12,Damaged,True
978-1-69498-359-6,Profound secondary access,Barry Black,Fiction,2011,8,2020-12-10,Reserved,True
978-0-297-58456-8,Digitized methodical benchmark,Neil Hall,Children,2019,3,2022-01-13,Checked Out,True
978-1-69845-989-9,Up-sized 4thgeneration portal,Janice Matthews,Fiction,2023,5,2023-12-02,Missing,True
978-1-83062-646-2,Up-sized full-range middleware,Lawrence Wright,Young Adult,1968,3,2020-10-12,Missing,True
978-1-4631-2842-5,Synergized 6thgeneration paradigm,Fiona Rogers,Non-Fiction,2000,8,2018-03-29,Available,True
978-0-12-202151-0,Devolved secondary software,Edward Ferguson,Young Adult,1956,1,2019-08-14,Reserved,True
978-0-541-65237-1,Advanced 24hour throughput,Eric Stephenson,Children,2007,9,2019-07-03,Checked Out,True
978-0-322-60734-7,Virtual maximized migration,Gareth Smith-Pickering,Non-Fiction,1967,6,2025-05-03,Damaged,True
978-1-4310-3233-4,Quality-focused stable workforce,Miss Lesley Williams,Fiction,1984,10,2020-02-17,Missing,True
978-0-05-858219-2,Optimized value-added focus group,Dr Josh Hunt,Children,2014,1,2019-12-24,Missing,True
978-0-431-21255-5,Profit-focused motivating pricing structure,Nigel Newman,Young Adult,1950,1,2017-06-20,Reserved,True
978-0-7814-1257-5,Ameliorated stable installation,Matthew Murphy,Fiction,1963,9,2024-02-06,Damaged,True
978-1-4547-5971-3,Customer-focused discrete budgetary management,Dr Marian Lee,Young Adult,2011,10,2017-11-22,Checked Out,True
9780426459637,Re-engineered even-keeled interface,Gareth Hyde,Fiction,1966,5,2017-12-02,Available,True
978-0-903585-87-3,Devolved homogeneous core,Colin Booth,Reference,1966,0,2020-07-08,Available,True
978-0-7192-6421-4,User-friendly 24hour conglomeration,Harriet Porter,Reference,1969,8,2023-12-04,Reserved,True
978-1-366-49706-2,Streamlined regional functionalities,Owen Houghton,Non-Fiction,1980,3,2023-01-24,Checked Out,True
978-1-4335-6239-6,Managed zero tolerance algorithm,Deborah Ball,Reference,2007,0,2024-05-28,Reserved,True
978-0-00-082220-8,Multi-channeled disintermediate capacity,Jake Thomas-Grant,Reference,1975,7,2021-07-17,Missing,True
978-1-08-980466-6,Compatible local budgetary management,Mr Jordan Hussain,Children,2014,2,2024-06-01,Missing,True
978-1-75991-173-1,Re-contextualized 6thgeneration utilization,Dr Georgia Howard,Fiction,1993,8,2019-10-24,Reserved,True
978-1-60273-160-8,Front-line grid-enabled application,Beth Rogers,Children,1965,1,2024-06-27,Damaged,True
978-1-327-05241-5,Switchable interactive portal,Dr Elliott Reid,Non-Fiction,2006,1,2020-02-05,Reserved,True
978-1-86676-469-5,Decentralized even-keeled concept,Howard Rogers-Brown,Reference,1971,0,2025-02-16,Damaged,True
978-0-374-37847-9,Upgradable bandwidth-monitored adapter,Dr Trevor Buckley,Children,2008,4,2017-07-26,Available,True
978-0-583-37622-8,Expanded uniform encoding,Maria Thomas-Ward,Children,1973,4,2016-12-20,Missing,True
978-1-57866-100-8,Automated 3rdgeneration hardware,Samuel Davis,Young Adult,1980,9,2017-01-03,Damaged,True
978-0-479-39334-6,Profound static orchestration,Dawn George,Non-Fiction,1999,2,2019-09-25,Reserved,True
978-0-15-558008-4,Polarized holistic methodology,Dr Bernard Mills,Reference,1960,8,2025-04-03,Missing,True
978-0-8382-3708-3,Grass-roots even-keeled extranet,Miss Julie Webb,Non-Fiction,1958,2,2017-10-06,Reserved,True
978-0-85418-429-3,Face-to-face cohesive initiative,Bradley Scott-Price,Reference,2010,7,2016-06-10,Checked Out,True
978-0-370-10653-3,Open-architected 6thgeneration hardware,Kim Jones-Akhtar,Young Adult,2009,7,2021-07-23,Checked Out,True
978-0-8262-7756-5,Vision-oriented upward-trending policy,Jay Flynn,Children,1988,3,2015-10-14,Reserved,True
978-1-186-96095-1,Networked impactful attitude,Ashleigh Birch,Non-Fiction,1993,4,2021-07-22,Missing,True
978-0-7586-4358-2,Front-line 3rdgeneration paradigm,Shaun Wilson,Young Adult,2016,7,2017-10-07,Checked Out,True
978-0-14-928969-6,Cross-platform multi-state software,Mrs Lydia Jones,Reference,1998,5,2022-04-02,Damaged,True
978-0-454-96422-6,Assimilated intangible workforce,Mr Leslie Griffin,Fiction,1993,6,2021-01-26,Reserved,True
978-0-03-580875-8,Open-architected responsive encryption,Donna Richards-Edwards,Non-Fiction,2016,10,2024-05-28,Available,True
978-0-488-31927-6,Up-sized cohesive knowledge user,Dr Howard Gill,Non-Fiction,2023,0,2018-09-02,Checked Out,True
978-0-281-81671-2,Pre-emptive local secured line,Elizabeth Bailey,Children,2018,10,2018-08-18,Available,True
978-0-7361-7457-2,Versatile empowering benchmark,Terry Osborne,Children,1966,4,2020-10-20,Damaged,True
978-0-00-013302-1,Up-sized bottom-line focus group,Mr Scott Chadwick,Reference,2003,0,2016-07-31,Available,True
978-0-15-819277-2,Digitized encompassing forecast,Josephine Parkin,Fiction,2022,4,2019-12-28,Available,True
978-1-61846-891-8,Multi-layered system-worthy productivity,Nigel Martin,Reference,1958,6,2019-10-03,Reserved,True
978-1-4709-1487-5,User-centric system-worthy capability,Colin Harrison,Young Adult,1979,7,2021-11-15,Damaged,True
978-0-382-65619-4,Phased national productivity,Dr Abdul Shah,Non-Fiction,1986,2,2017-02-20,Damaged,True
978-1-991699-27-5,Organized systematic algorithm,Tony Barker,Young Adult,1967,2,2020-01-11,Reserved,True
978-1-74865-977-4,Switchable foreground policy,Duncan Williams,Children,1969,0,2017-12-03,Checked Out,True
978-0-7506-8233-6,Vision-oriented methodical encoding,Mr Lawrence Smith,Young Adult,1979,0,2020-06-17,Missing,True
978-0-267-88657-9,Business-focused local encryption,Abdul Franklin,Fiction,1984,10,2019-06-19,Available,True
978-0-521-73213-0,Extended 24hour productivity,Dr Bethan Moore,Fiction,1992,2,2017-06-16,Damaged,True
978-0-295-57693-0,Centralized multimedia model,Raymond Stephenson,Non-Fiction,1963,1,2022-08-15,Damaged,True
978-0-906231-54-8,Face-to-face zero administration function,Dorothy Ferguson-Mason,Non-Fiction,1973,6,2018-11-20,Reserved,True
978-0-8486-7117-4,Versatile zero administration complexity,Irene Hill-Saunders,Fiction,1983,7,2021-08-22,Reserved,True
978-1-365-09416-3,Digitized responsive standardization,Dr Julian Carpenter,Young Adult,2023,0,2015-11-22,Available,True
978-0-87013-215-5,Object-based interactive knowledge user,Charlotte Davies,Fiction,2016,4,2021-12-24,Checked Out,True
978-0-7104-5999-2,Diverse transitional analyzer,Simon Walker,Reference,1978,3,2024-06-12,Reserved,True
978-0-213-18960-0,Intuitive 5thgeneration core,Lorraine Griffiths-Bennett,Reference,2017,4,2016-09-06,Damaged,True
978-1-174-14655-8,Innovative fresh-thinking artificial intelligence,Mr Harry Taylor,Children,1970,2,2025-02-13,Missing,True
9781916491564,Open-architected content-based algorithm,Nigel Palmer-Barnes,Reference,1981,10,2019-11-27,Reserved,True
978-1-5007-4435-9,Enhanced foreground projection,Charlotte Robinson,Reference,2003,10,2016-08-29,Damaged,True
978-0-647-06696-6,Self-enabling zero-defect service-desk,Norman O'Sullivan,Young Adult,2011,1,2016-10-09,Reserved,True
978-1-145-24486-3,Grass-roots zero administration paradigm,Amelia Perry,Non-Fiction,1952,2,2017-12-11,Checked Out,True
978-0-435-18406-3,Expanded radical collaboration,Scott Todd,Young Adult,1970,4,2019-10-28,Damaged,True
978-0-271-00499-0,Customer-focused context-sensitive interface,Dr Terence Morgan,Non-Fiction,2001,5,2018-06-09,Available,True
978-0-9819205-0-4,Robust bandwidth-monitored info-mediaries,Mr Trevor Sullivan,Fiction,1975,2,2023-02-17,Missing,True
978-0-625-93286-3,Multi-lateral mobile synergy,Mr William Robinson,Reference,1952,9,2024-05-30,Available,True
978-1-912830-06-0,Enhanced disintermediate task-force,William Lewis,Fiction,2005,4,2024-11-24,Damaged,True
978-1-5167-9177-4,Open-architected bottom-line software,Mitchell Williams-Hughes,Young Adult,1958,10,2023-11-18,Reserved,True
978-1-292-33591-9,Fully-configurable upward-trending database,Ms Patricia Howe,Children,1968,7,2018-04-04,Missing,True
